from,to,relationship 
coc,ch,5
coc,ch,6
gb,coc,4
gb,di,3
gb,ch,6
yd,gb,4
yd,ch,6
yd,ch,3
jc,gb,4
jc,ch,6
jc,ch,3
faw,ch,1
pg,yd,4
pg,jc,4
pg,ch,6
re,pg,4
re,ch,6
re,ba,2
kl,re,4
kl,ch,6
kl,pb,3
kl,blm,2
kl,pt,6
kl,cl,6
kl,fe,6
smc,kl,4
smc,mcc,5
smc,cl,6
kl,la,5
vv,kl,4
vv,ch,6
vv,ch,2
vv,ch,3
vv,cl,3
smc,clx,2
gag,la,1
lvmh,mcc,1
huk,la,6
huk,kl,4
af,fe,5
ef,fe,5
af,fe,1
ef,fe,1
af,fe,6
ef,fe,6
anfs,fe,1
ffs,fe,1
cfs,fe,1
alfs,fe,1
kl,ef,4
kl,af,4
lvmh,fe,1
svf,fe,6
svf,kl,4
kj,fe,6
yslp,di,3
yslp,di,6
yslp,ysl,5
pb,ysl,5
yslp,ysl,6
ae,ysl,6
hsl,ysl,6
tf,ysl,6
sp,ysl,6
hsl,ysl,6
avc,ysl,6
jmr,ysl,1
cotr,ysl,1
sbn,ysl,1
yslp,ysl,1
pbe,ysl,1
san,ysl,1
gg,ysl,1
ksa,ysl,1
pc,pq,3
pc,sip,3
pc,cd,3
pc,pcm,5
pc,pcm,6
pc,pcm,1
cf,pcm,1
rbc,pcm,6
rbc,pc,4
cb,ba,1
ppr,ba,1
ker,ba,1
ng,ba,2
awg,ba,3
dgv,ba,6
eu,ba,2
odlr,ba,2
anco,ba,3
jabo,ba,1
cd,di,5
cd,di,1
yslp,di,4
mb,di,4
gf,di,3
jg,di,4
rs,di,4
mgc,di,6
pc,di,1
bgy,di,3
hsl,di,3
jpg,jpgm,5
pug,jpgm,1
jpg,jpu,2
chbe,jpgm,6
sai,jpgm,2
jpg,blm,3
or,jpgm,3
mmla,jpgm,2
av,jpgm,2
mug,jpgm,3
jth,jpgm,2
migo,jpgm,3
jpg,herms,3
