from,to,relationship ,time
coc,ch,5,1910
coc,ch,6,1910
gb,coc,4,1971
gb,di,3,0
gb,ch,6,1971
yd,gb,4,1973
yd,ch,6,1973
yd,ch,3,0
jc,gb,4,1973
jc,ch,6,1973
jc,ch,3,0
faw,ch,1,1954
pg,yd,4,1978
pg,jc,4,1978
pg,ch,6,1978
re,pg,4,1980
re,ch,6,1980
re,ba,2,0
kl,re,4,1983
kl,ch,6,1983
kl,pb,3,1955
kl,blm,2,1955
kl,pt,6,1958
kl,cl,6,1992
kl,fe,6,1965
smc,kl,4,1997
smc,mcc,5,2001
smc,cl,6,1997
kl,la,5,1984
vv,kl,4,2019
vv,ch,6,2019
vv,ch,2,1987
vv,ch,3,1997
vv,cl,3,1992
smc,clx,2,1988
gag,la,1,2022
lvmh,mcc,1,2019
huk,la,6,2015
huk,kl,4,2019
af,fe,5,1925
ef,fe,5,1925
af,fe,1,1925
ef,fe,1,1925
af,fe,6,1925
ef,fe,6,1925
anfs,fe,1,1964
ffs,fe,1,1964
cfs,fe,1,1964
alfs,fe,1,1964
kl,ef,4,1965
kl,af,4,1965
lvmh,fe,1,2002
svf,fe,6,1994
svf,kl,4,2019
kj,fe,6,2020
yslp,di,3,1955
yslp,di,6,1957
yslp,ysl,5,1960
pb,ysl,5,1960
yslp,ysl,6,1961
ae,ysl,6,1998
hsl,ysl,6,1998
tf,ysl,6,2000
sp,ysl,6,2004
hsl,ysl,6,2012
av,ysl,6,2016
jmr,ysl,1,1960
cotr,ysl,1,1965
sbn,ysl,1,1969
yslp,ysl,1,1972
pb,ysl,1,1972
san,ysl,1,1993
gg,ysl,1,1999
ksa,ysl,1,2004
pc,pq,3,1944
pc,sip,3,1946
pc,cd,3,1947
pc,pcm,5,1950
pc,pcm,6,1950
pc,pcm,1,1950
cf,pcm,1,2020
rbc,pcm,6,2020
rbc,pc,4,2020
cb,ba,1,1919
ppr,ba,1,2001
ker,ba,1,2013
ng,ba,2,1997
awg,ba,3,2012
dwg,ba,6,2015
eu,ba,2,1958
odlr,ba,2,0
anco,ba,3,0
jabo,ba,1,1986
cd,di,5,1946
cd,di,1,1946
yslp,di,4,1957
mb,di,4,1960
gf,di,3,1989
jg,di,4,1997
rs,di,4,2012
mgc,di,6,2016
pc,di,1,1946
bgy,di,3,2011
hsl,di,3,2000
jpg,jpgm,5,1982
pug,jpgm,1,2011
jpg,jpu,2,1970
chbe,jpgm,6,2020
sai,jpgm,2,1999
jpg,blm,3,1970
or,jpgm,3,0
mmla,jpgm,2,1984
av,jpgm,2,2000
mug,jpgm,3,0
jth,jpgm,2,1980
migo,jpgm,3,1980
jpg,herms,3,2003
